Symbol,Geneid
AACS,ENSG00000081760
AAK1,ENSG00000115977
AGAP1,ENSG00000157985
ANO2,ENSG00000047617
ANO5,ENSG00000171714
APOE,ENSG00000130203
AQP10,ENSG00000143595
ARHGAP27,ENSG00000159314
ASS1P13,ENSG00000255353
ASS1P14,ENSG00000257316 
ASXL3,ENSG00000141431
ATF6,ENSG00000118217
BAG3,ENSG00000151929
BCCIP,ENSG00000107949
BCKDK,ENSG00000103507
BICD1,ENSG00000151746
BIN3,ENSG00000147439
BRINP1,ENSG00000078725
BRIP1,ENSG00000136492
BST1,ENSG00000109743
C5orf24,ENSG00000181904
CA8,ENSG00000178538
CAB39L,ENSG00000102547
CACNA1B,ENSG00000148408
CAMK2D,ENSG00000145349
CASC16,ENSG00000249231
CCDC62,ENSG00000130783
CCDC82,ENSG00000149231
CCNT2-AS1,ENSG00000224043
CD19,ENSG00000177455
CD38,ENSG00000004468
CHL1,ENSG00000134121
CHL1-AS1,ENSG00000234661
CHRNB1,ENSG00000170175
CICP26,ENSG00000233003
CLCN3,ENSG00000109572
CLRN3,ENSG00000180745
CNKSR3,ENSG00000153721
CNTN1,ENSG00000018236
COL12A1,ENSG00000111799
COL13A1,ENSG00000197467
COL3A1,ENSG00000168542
COL5A2,ENSG00000204262
CRISPLD1,ENSG00000121005
CRLS1,ENSG00000088766
CTC1,ENSG00000178971
CTSB,ENSG00000164733
CYCSP42,ENSG00000224524
CYP17A1,ENSG00000148795
CYP4Z1,ENSG00000186160
CYRIB,ENSG00000153310
DCUN1D1,ENSG00000043093
DDRGK1,ENSG00000198171
DENND2B,ENSG00000166444 
DGKQ,ENSG00000145214
DIRC1,ENSG00000174325
DLG2,ENSG00000150672
DNAH17,ENSG00000187775
DNASE1L1,ENSG00000013563
DNM1L,ENSG00000087470
DRAP1,ENSG00000175550
DSG3,ENSG00000134757
DYRK1A,ENSG00000157540
EEF1AKNMT,ENSG00000010165
EFNB1,ENSG00000090776
EHMT2-AS1,ENSG00000237080
EIF3KP1,ENSG00000175749
ELOVL7,ENSG00000164181
FAM126A,ENSG00000122591
FAM136FP,ENSG00000217178
FAM171A2,ENSG00000161682
FAM184A,ENSG00000111879
FAM47E,ENSG00000189157
FAM47E-STBD1,ENSG00000272414
FANCF,ENSG00000183161
FBRSL1,ENSG00000112787
FCGR2A,ENSG00000143226
FDFT1,ENSG00000079459
FGD4,ENSG00000139132
FYN,ENSG00000010810
GABRG2,ENSG00000113327
GAK,ENSG00000178950
GBA,ENSG00000177628
GBF1,ENSG00000107862
GCH1,ENSG00000131979
GFPT2,ENSG00000131459
GPM6B,ENSG00000046653
GPNMB,ENSG00000136235
GPR19,ENSG00000183150
GPR32,ENSG00000142511
GPR32P1,ENSG00000269565 
GPR65,ENSG00000140030
GPR89P,ENSG00000216915 
GXYLT1,ENSG00000151233
HASPIN,ENSG00000177602
HIP1R,ENSG00000130787
HLA-DQA1,ENSG00000196735
HLA-DQB1,ENSG00000179344
HLA-DRA,ENSG00000204287
HLA-DRB1,ENSG00000196126
HMGB1P13,ENSG00000220557
HSD17B1P1,ENSG00000108785 
HTR2A,ENSG00000102468
HTR2A-AS1,ENSG00000224517
IGSF11,ENSG00000144847
IGSF9B,ENSG00000080854
IL1R2,ENSG00000115590
ING1,ENSG00000153487
INO80C,ENSG00000153391
INPP5F,ENSG00000198825
IP6K2,ENSG00000068745
ISM1,ENSG00000101230
ITGA2B,ENSG00000005961
ITGA8,ENSG00000077943
ITGAE,ENSG00000083457
ITIH1,ENSG00000055957
ITPKB,ENSG00000143772
ITPKB-IT1,ENSG00000228382
KANSL1,ENSG00000120071
KCNIP3,ENSG00000115041
KCNIP4,ENSG00000185774
KCNN3,ENSG00000143603
KCNS3,ENSG00000170745
KLHDC1,ENSG00000197776
KLHL29,ENSG00000119771
KLHL7,ENSG00000122550
KLHL7-DT,ENSG00000230658
KPNA1,ENSG00000114030
KTN1,ENSG00000126777
LACTB,ENSG00000103642
LAMTOR2,ENSG00000116586
LCORL,ENSG00000178177
LHFPL2,ENSG00000145685
LINC00326,ENSG00000231023
LINC00456,ENSG00000233124
LINC00476,ENSG00000175611
LINC01012,ENSG00000281706
LINC01127,ENSG00000281162
LINC01307,ENSG00000231671
LINC01495,ENSG00000255323
LINC01500,ENSG00000258583
LINC02114,ENSG00000249521
LINC02210,ENSG00000204650
LINC02210-CRHR1,ENSG00000263715
LINC02224,ENSG00000249203
LINC02240,ENSG00000260192
LINC02331,ENSG00000235269
LINC02349,ENSG00000259284
LINC02400,ENSG00000257784
LINC02451,ENSG00000257164
LINC02527,ENSG00000227012
LINC02629,ENSG00000223470
LINC02885,ENSG00000286592 
LMNB1,ENSG00000113368
LRRK2,ENSG00000188906
LRRK2-DT,ENSG00000225342 
LTK,ENSG00000062524
LZTS3,ENSG00000088899
MAP4K4,ENSG00000071054
MAPT,ENSG00000186868
MAPT-AS1,ENSG00000264589
MARCHF3,ENSG00000173926
MBNL2,ENSG00000139793
MCCC1,ENSG00000078070
MCCC1-AS1,ENSG00000243368
MCTP2,ENSG00000140563
MDGA2,ENSG00000139915
MED12L,ENSG00000144893
MED13,ENSG00000108510
MIPOL1,ENSG00000151338
MIR663AHG,ENSG00000227195
MMRN1,ENSG00000138722
MROH3P,ENSG00000233217 
MTCO3P1,ENSG00000235040
MTND1P24,ENSG00000257858 
MUC19,ENSG00000205592
MX2,ENSG00000183486
MYLK2,ENSG00000101306
NAGLU,ENSG00000108784
NCKAP5L,ENSG00000167566
NDUFAF2,ENSG00000164182
NGEF,ENSG00000066248
NKAIN2,ENSG00000188580
NOD2,ENSG00000167207
NR1D2,ENSG00000174738
NSF,ENSG00000073969
NTRK2,ENSG00000148053
NUCKS1,ENSG00000069275
OCA2,ENSG00000104044
ODAPH,ENSG00000174792
OR5AZ1P,ENSG00000180714 
OR5BD1P,ENSG00000254749
PABPN1L,ENSG00000205022
PAM,ENSG00000145730
PARP9,ENSG00000138496
PAX7,ENSG00000009709
PDCL2P1,ENSG00000228610
PHBP21,ENSG00000260326
PI15,ENSG00000137558
PJA1,ENSG00000181191
PLEKHM1,ENSG00000225190
PLPP4,ENSG00000203805
PLPPR1,ENSG00000148123
PMVK,ENSG00000163344
POLR3B,ENSG00000013503
PRAG1,ENSG00000275342
PRDM15,ENSG00000141956
PRKN,ENSG00000185345
PRRG4,ENSG00000135378
PRSS53,ENSG00000151006
PSMA6P4,ENSG00000271625
PTCHD1,ENSG00000165186
PTPRD,ENSG00000153707
PWRN4,ENSG00000260232
QSER1,ENSG00000060749
RAB25,ENSG00000132698
RAB29,ENSG00000117280
RABEP2,ENSG00000177548
RAD1P1,ENSG00000234569
RBMS3,ENSG00000144642
RERE,ENSG00000142599
RERE-AS1,ENSG00000232912 
RESF1,ENSG00000174718
RETREG3,ENSG00000141699
RFX4,ENSG00000111783
RIT2,ENSG00000152214
RN7SKP190,ENSG00000251888
RN7SL474P,ENSG00000264092
RN7SL813P,ENSG00000241074 
RNA5SP443,ENSG00000199953
RNF141,ENSG00000110315
RNF217-AS1,ENSG00000236548
RNU6-121P,ENSG00000222457
RNU6-1326P,ENSG00000212564
RNU6-161P,ENSG00000199921
RNU6-164P,ENSG00000201474
RNU6-481P,ENSG00000206921
RNU6-525P,ENSG00000200555
RNU6-835P,ENSG00000252783
RNU7-137P,ENSG00000252597
RPA2P1,ENSG00000258392
RPL10,ENSG00000147403
RPL13AP3,ENSG00000177350 
RPL7AP61,ENSG00000233291
RPS6KL1,ENSG00000198208
RSL24D1P1,ENSG00000218069
RTL9,ENSG00000243978
SAPCD2P3,ENSG00000232491
SCAF11,ENSG00000139218
SCARB2,ENSG00000138760
SCN2A,ENSG00000136531
SEMA4A,ENSG00000196189
SEMA5A,ENSG00000112902
SETD1A,ENSG00000099381
SH3GL2,ENSG00000107295
SIPA1L2,ENSG00000116991
SLC25A44,ENSG00000160785
SLC28A3,ENSG00000197506
SLC2A13,ENSG00000151229
SLC39A8,ENSG00000138821
SLC41A1,ENSG00000133065
SLC44A4,ENSG00000204385
SLC50A1,ENSG00000169241
SLCO1B3,ENSG00000111700
SMAD4,ENSG00000141646
SNCA,ENSG00000145335
SNCA-AS1,ENSG00000247775
SP1,ENSG00000185591
SPATA19,ENSG00000166118
SPPL2B,ENSG00000005206
SPPL2C,ENSG00000185294
SPTSSB,ENSG00000196542
SQOR,ENSG00000137767
SREBF1,ENSG00000072310
SRSF10P1,ENSG00000267717
STAP1,ENSG00000035720
STK39,ENSG00000198648
STX1B,ENSG00000099365
SULT1C2,ENSG00000198203
SV2C,ENSG00000122012
SYT17,ENSG00000103528
TAS1R2,ENSG00000179002
TASP1,ENSG00000089123
TBC1D5,ENSG00000131374
TCEANC2,ENSG00000116205
TCIM,ENSG00000176907
THSD4,ENSG00000187720
TIAL1,ENSG00000151923
TMC3,ENSG00000188869
TMC3-AS1,ENSG00000259343
TMC5,ENSG00000103534
TMEM163,ENSG00000152128
TMEM175,ENSG00000127419
TMEM229B,ENSG00000198133
TMPRSS9,ENSG00000178297
TPI1P1,ENSG00000226415
TPM1,ENSG00000140416
TRAPPC2L,ENSG00000167515
TRIM40,ENSG00000204614
TRPM2,ENSG00000142185
TRPS1,ENSG00000104447
TSBP1-AS1,ENSG00000225914
TXNDC15,ENSG00000113621
UBAP2,ENSG00000137073
UBTF,ENSG00000108312
UNC13B,ENSG00000198722
VAMP4,ENSG00000117533
WBP1L,ENSG00000166272
WNT3,ENSG00000108379
WNT9A,ENSG00000143816
Y_RNA,ENSG00000195401
ZDHHC2,ENSG00000104219
ZNF165,ENSG00000197279
ZNF396,ENSG00000186496
ZNF474-AS1,ENSG00000249610
ZNF608,ENSG00000168916
ZNF646,ENSG00000167395
ZNF789,ENSG00000198556
ZP3,ENSG00000188372
ZSCAN16-AS1,ENSG00000269293
